teamid,Stat Type,evGGARatio,faceOffsLost,faceOffsTaken,faceOffsWon,faceOffWinPercentage,gamesPlayed,goalsAgainstPerGame,goalsPerGame,losses,ot,penaltyKillOpportunities,penaltyKillPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,powerPlayPercentage,ptPctg,pts,savePctg,shootingPctg,shotsAllowed,shotsPerGame,winLeadFirstPer,winLeadSecondPer,winOppScoreFirst,winOutshootOpp,winOutshotByOpp,wins,winScoreFirst
1,Numbers,0.7961,2090,3939,1849,46.9,68,3.221,2.691,28,12,,82,41,39,231,17.8,50,68,0.901,8.7,32.6912,30.8088,0.5,0.704,0.351,0.417,0.39,28,0.484
1,Rank,29,30,9,27,29,,28,25,23,3,24,12,18,14,3,22,25,25,19,23,26,21,30,28,8,24,24,27,29
2,Numbers,0.9385,1781,3553,1772,49.9,67,2.776,2.761,23,9,,81,29,33,165,17.6,59,79,0.911,9.4,31.1791,29.3582,0.714,0.885,0.375,0.5,0.55,35,0.657
2,Rank,23,3,31,29,18,,8,22,10,6,3,15,30,5,31,23,11,12,8,16,15,29,22,9,11,12,12,14,18
12,Numbers,1.015,1941,3934,1993,50.7,66,2.864,3.121,25,5,,83.5,42,38,198,21.2,58.3,77,0.903,9.4,29.3788,33.1667,0.95,0.962,0.306,0.459,0.643,36,0.833
12,Rank,17,15,11,10,9,,12,15,14,28,30,4,13,12,19,9,12,15,17,17,2,3,1,2,15,18,18,12,10
13,Numbers,1.0261,1957,3940,1983,50.3,68,3.279,3.324,26,8,,78.3,44,40,210,20.9,55.9,76,0.899,10.2,32.3529,32.6324,0.8,0.963,0.242,0.412,0.594,34,0.743
13,Rank,13,17,8,14,13,,29,7,17,13,5,20,8,16,11,11,17,16,26,11,22,7,13,1,27,25,25,18,7
14,Numbers,1.3277,1943,3932,1989,50.6,68,2.765,3.5,20,5,,82.1,48,40,204,23.5,66.9,91,0.911,11.3,30.8971,30.9706,0.821,0.861,0.481,0.6,0.629,43,0.732
14,Rank,3,16,12,12,11,,7,1,4,27,28,10,5,15,14,5,2,2,9,1,12,20,9,14,6,4,4,2,1
15,Numbers,1.0993,2096,4058,1962,48.4,68,3.088,3.441,20,7,,82.8,42,41,215,19.5,65.4,89,0.898,10.8,30.2647,31.9265,0.87,0.844,0.486,0.641,0.571,41,0.727
15,Rank,9,31,5,16,28,,18,2,6,20,31,5,12,18,8,17,6,5,29,2,9,12,3,19,2,1,1,4,11
16,Numbers,0.9931,1919,3835,1916,50,68,3.088,2.971,29,8,,82.2,31,36,210,14.8,51.5,70,0.912,9.4,35.2353,31.6618,0.731,0.778,0.306,0.476,0.467,31,0.625
16,Rank,19,10,24,20,17,,19,18,24,16,15,9,26,9,12,29,23,24,5,18,31,14,20,26,18,14,14,24,26
17,Numbers,0.5273,1940,3840,1900,49.5,69,3.71,1.971,48,5,,75.3,31,54,207,15,26.8,37,0.887,7.3,32.6957,27.1159,0.444,0.6,0.15,0.333,0.191,16,0.345
17,Rank,31,14,23,23,20,,31,31,31,30,26,30,27,31,13,28,31,31,31,31,27,31,31,31,30,30,30,31,31
18,Numbers,1.1119,1929,4030,2101,52.1,68,3.118,3.059,26,8,,75.8,38,51,222,17.1,55.9,76,0.9,9.2,31.2206,33.1029,0.8,0.808,0.25,0.459,0.567,34,0.722
18,Rank,8,13,6,4,4,,21,16,18,14,20,29,21,29,6,24,18,17,22,20,16,4,12,23,26,19,19,19,6
19,Numbers,1.2479,1864,3848,1984,51.6,68,2.735,3.176,18,10,,79.2,48,41,196,24.5,66.2,90,0.907,10.3,29.5588,30.7206,0.64,0.806,0.387,0.588,0.563,40,0.757
19,Rank,4,5,22,13,6,,6,11,2,5,11,18,6,17,20,3,3,3,10,10,4,22,26,24,9,6,6,5,4
20,Numbers,0.9231,2067,4059,1992,49.1,69,3.029,2.913,26,7,,82.6,40,34,192,20.8,57.2,79,0.907,9.2,32.4493,31.7391,0.857,0.852,0.41,0.5,0.5,36,0.667
20,Rank,24,28,4,11,23,,15,20,15,21,9,6,20,7,23,13,15,14,12,19,24,13,5,17,3,13,13,11,25
21,Numbers,1.4364,1983,3932,1949,49.6,67,2.716,3.403,19,8,,81.5,43,37,231,18.6,65.7,88,0.913,10.4,31.3582,32.5821,0.731,0.842,0.417,0.559,0.633,40,0.698
21,Rank,1,20,13,17,19,,5,4,3,9,13,13,10,11,1,20,4,6,4,7,17,9,18,20,20,9,9,6,2
3,Numbers,1.0211,2005,3747,1742,46.5,68,3.162,3.338,28,4,,77.9,52,49,221,23.5,55.9,76,0.907,10.7,34.1176,31.1176,0.731,0.885,0.4,0.462,0.575,36,0.632
3,Rank,14,23,28,30,30,,25,6,20,31,27,21,4,28,7,6,19,20,11,5,30,19,19,10,13,17,17,13,14
22,Numbers,0.8961,1958,3823,1865,48.8,69,3.014,3.174,24,8,,84.8,59,30,199,29.6,59.4,82,0.905,10.7,31.8986,29.5362,0.815,0.897,0.25,0.444,0.579,37,0.784
22,Rank,25,18,25,25,24,,14,12,11,11,12,2,1,2,18,1,9,9,15,4,20,28,10,6,25,21,21,8,3
23,Numbers,0.9856,1779,3883,2104,54.2,67,3.104,3.269,26,6,,80,56,42,231,24.2,56.7,76,0.907,10.5,33.2239,31.2239,0.75,0.88,0.306,0.382,0.656,35,0.774
23,Rank,20,2,18,3,2,,20,8,16,24,19,16,3,19,2,4,16,18,13,6,28,18,17,12,16,28,28,17,13
24,Numbers,0.8601,1864,3767,1903,50.5,68,3.147,2.515,32,8,,77.3,25,46,177,14.1,47.1,64,0.902,8.4,31.9559,29.9706,0.895,0.828,0.229,0.185,0.605,28,0.606
24,Rank,26,6,27,22,12,,24,29,27,18,16,22,31,24,30,31,27,27,18,28,21,27,2,21,29,31,31,28,27
25,Numbers,1.0094,1895,3936,2041,51.9,68,2.5,2.588,23,8,,79.5,41,44,196,20.9,60.3,82,0.921,8.5,31.6176,30.5882,0.85,0.885,0.389,0.6,0.485,37,0.719
25,Rank,18,8,10,7,5,,2,26,9,10,23,17,16,22,21,12,8,8,1,27,18,23,8,8,5,5,5,10,16
26,Numbers,0.8248,1913,3884,1971,50.8,68,3.029,2.515,35,6,,77,32,43,187,17.1,44.1,60,0.899,7.6,29.8676,33.1029,0.643,0.895,0.167,0.341,0.5,27,0.579
26,Rank,27,9,17,15,8,,16,30,30,26,7,25,24,21,27,25,30,30,27,30,6,5,25,7,31,29,29,29,22
28,Numbers,0.7806,1893,3718,1825,49.1,68,3.162,2.574,34,5,,86.6,30,29,182,16.5,46.3,63,0.896,8.6,30.4559,30,0.778,0.87,0.237,0.429,0.433,29,0.667
28,Rank,30,7,30,28,22,,26,28,29,29,25,1,28,1,29,27,28,28,30,26,10,26,14,13,24,22,22,26,28
29,Numbers,1.0165,1971,3822,1851,48.4,69,2.638,2.58,22,15,,81.3,31,31,187,16.6,57.2,79,0.912,7.9,29.9275,32.6087,0.579,0.65,0.265,0.385,0.586,32,0.657
29,Rank,16,19,26,26,26,,4,27,8,1,1,14,25,3,26,26,13,11,7,29,7,8,29,30,22,27,27,22,17
30,Numbers,1.1168,2039,3950,1911,48.4,68,3.132,3.132,27,7,,76.7,44,47,213,20.7,55.1,75,0.898,10.4,30.7206,30.1029,0.692,0.75,0.324,0.615,0.405,34,0.676
30,Rank,6,26,7,21,27,,22,13,19,22,14,28,9,25,9,15,21,21,28,9,11,25,23,27,17,2,2,20,21
52,Numbers,0.9565,1928,3862,1934,50.1,69,2.855,2.971,28,6,,77.2,42,39,203,20.7,55.1,76,0.912,9.5,32.4493,31.3478,0.857,0.96,0.324,0.419,0.559,35,0.719
52,Rank,22,12,20,18,15,,11,17,21,25,2,24,14,13,16,14,20,19,6,15,25,16,6,3,14,23,23,16,20
53,Numbers,1.0323,1990,3919,1929,49.2,69,2.594,2.725,28,8,,82.6,41,34,212,19.3,53.6,74,0.92,8.6,32.4058,31.6232,0.72,0.815,0.265,0.467,0.5,33,0.686
53,Rank,12,22,15,19,21,,3,23,22,15,10,7,17,8,10,18,22,22,2,24,23,15,21,22,23,15,15,21,15
4,Numbers,1.1418,1779,3912,2133,54.5,68,2.779,3.338,20,7,,82,47,37,223,21.1,65.4,89,0.903,10.7,28.6471,31.3235,0.85,0.935,0.448,0.55,0.654,41,0.718
4,Rank,5,1,16,1,1,,9,5,5,19,17,11,7,10,5,10,5,4,16,3,1,17,7,5,7,10,10,3,5
54,Numbers,1.0429,2038,4081,2043,50.1,69,2.957,3.13,24,8,,77,40,49,188,21.3,59.4,82,0.9,9.1,29.5072,34.3478,0.75,0.882,0.333,0.578,0.55,37,0.758
54,Rank,11,25,3,6,16,,13,14,12,12,22,26,19,27,25,8,10,10,23,21,3,1,16,11,10,7,7,9,9
5,Numbers,1.1136,1983,3853,1870,48.5,67,2.806,3.194,22,6,,82.5,41,32,200,20.5,62.7,84,0.906,10,29.7463,31.9552,0.864,0.857,0.405,0.538,0.652,39,0.8
5,Rank,7,21,21,24,25,,10,10,7,23,4,8,15,4,17,16,7,7,14,13,5,11,4,15,4,11,11,7,12
6,Numbers,1.3333,1921,3929,2008,51.1,69,2.42,3.261,14,12,,84,56,34,223,25.1,71,98,0.919,10.1,29.9565,32.1449,0.75,0.794,0.621,0.61,0.64,43,0.625
6,Rank,2,11,14,9,7,,1,9,1,2,21,3,2,6,4,2,1,1,3,12,8,10,15,25,1,3,3,1,8
7,Numbers,0.9773,2022,3725,1703,45.7,68,3.132,2.809,31,8,,74.5,36,47,193,18.6,48.5,66,0.899,9.6,31.0735,29.3382,0.667,0.957,0.235,0.387,0.457,29,0.618
7,Rank,21,24,29,31,31,,23,21,26,17,6,31,22,26,22,19,26,26,25,14,14,30,24,4,28,26,26,25,24
8,Numbers,1.0432,2072,4194,2122,50.6,70,3.086,2.943,30,9,,78.7,33,44,184,17.9,50.7,71,0.901,8.6,31.0286,34.1143,0.6,0.667,0.313,0.465,0.417,31,0.553
8,Rank,10,29,1,2,10,,17,19,25,8,18,19,23,23,28,21,24,23,21,25,13,2,28,29,21,16,16,23,23
9,Numbers,0.8224,2055,4131,2076,50.2,69,3.333,2.696,32,12,,76.8,30,52,204,14.7,44.9,62,0.901,8.8,33.7681,30.5217,0.632,0.85,0.256,0.455,0.357,25,0.538
9,Rank,28,27,2,5,14,,30,24,28,4,29,27,29,30,15,30,29,29,20,22,29,24,27,18,19,20,20,30,30
10,Numbers,1.0192,1841,3876,2035,52.5,69,3.203,3.406,25,9,,77.2,43,43,190,22.6,57.2,79,0.9,10.4,31.8841,32.8406,0.8,0.857,0.308,0.576,0.438,35,0.767
10,Rank,15,4,19,8,3,,27,3,13,7,8,23,11,20,24,7,14,13,24,8,19,6,11,16,12,8,8,15,19
